Average Length	Average Frequency Band	Common Direction
0.8200000000000001	0.0	Constant
0.2	-1.2533333333333332	Constant
0.37857142857142856	13.15857142857143	Constant
0.3444444444444445	0.0	Constant
0.26666666666666666	-20.364166666666666	Constant
0.26956521739130423	-0.653913043478261	Constant
0.08333333333333333	-106.51666666666665	Decreases
0.14	-39.85	Constant
0.16666666666666666	-62.03	Decreases
0.22000000000000003	-76.692	Decreases
0.19999999999999998	-2.5066666666666664	Constant
0.27999999999999997	-25.564	Constant
0.125	2.8199999999999967	Constant
0.1142857142857143	-49.94571428571429	Decreases
0.19999999999999998	0.0	Constant
0.08125000000000002	-28.9	Constant
0.07500000000000002	6.578	Constant
0.049999999999999996	-59.10611111111112	Decreases
0.1	-26.315454545454546	Constant
0.08666666666666667	-38.34533333333333	Constant
0.10666666666666669	-21.302	Constant
0.09	-9.773000000000001	Constant
0.08571428571428572	-20.40857142857143	Constant
1.8999999999999997	0.0	Constant
0.26666666666666666	-50.126666666666665	Decreases
0.325	59.21	Constant
0.4428571428571428	0.0	Constant
0.044444444444444446	-106.93333333333332	Decreases
0.13333333333333333	-76.44	Decreases
0.08666666666666667	-9.022666666666668	Constant
0.0	-130.32666666666668	Decreases
0.1	-1.88	Constant
0.04	-107.516	Decreases
0.025	-101.5	Decreases
0.03333333333333333	-85.20833333333333	Decreases
0.0	-159.77	Decreases
0.1	7.52	Increases
0.10000000000000002	-42.60666666666667	Constant
0.09999999999999999	-41.35333333333333	Constant
0.07500000000000001	-65.79	Constant
0.1	-32.895	Constant
0.0	67.67	Constant
0.1	-62.03	Constant
0.19999999999999998	0.0	Constant
0.06666666666666667	0.0	Constant
0.2	0.0	Constant
0.09999999999999999	-83.33333333333333	Decreases
0.1	0.0	Constant
0.1857142857142857	-4.297142857142859	Constant
0.09166666666666666	-22.242500000000003	Decreases
0.0	-133.45999999999998	Decreases
0.35	0.0	Constant
0.30000000000000004	0.0	Constant
0.2333333333333333	-42.60666666666666	Constant
0.15	0.6266666666666666	Constant
0.08571428571428572	1.0742857142857143	Increases
0.14285714285714285	1.6114285714285714	Constant
0.10999999999999999	-1.504	Constant
0.0	124.06	Increases
0.26666666666666666	0.0	Constant
0.1	0.0	Constant
0.1	-0.47	Constant
0.10909090909090911	-1.0254545454545454	Constant
0.12499999999999999	-0.94	Constant
0.06666666666666667	0.0	Constant
0.30000000000000004	0.0	Constant
0.0	-127.82	Decreases
0.1	-0.3418181818181818	Constant
0.15	0.0	Constant
0.12857142857142856	1.0742857142857143	Constant
0.15	0.0	Constant
0.15	0.0	Constant
0.11666666666666665	0.6266666666666666	Constant
0.06666666666666667	1.2533333333333332	Constant
0.09285714285714286	-0.26857142857142857	Constant
0.16153846153846158	-2.0246153846153843	Decreases
0.11428571428571431	-9.667142857142858	Constant
0.18333333333333335	0.6266666666666666	Constant
0.12222222222222223	0.0	Constant
0.06666666666666667	1.2533333333333332	Constant
0.25	0.0	Constant
0.1	-62.03	Constant
0.2	0.0	Constant
0.23750000000000004	-0.47	Constant
0.125	1.88	Constant
0.0846153846153846	0.28923076923076924	Constant
0.09999999999999999	-0.5371428571428571	Constant
0.11818181818181821	-1.3672727272727272	Constant
0.14285714285714285	-1.0742857142857143	Constant
0.11666666666666668	0.6266666666666666	Constant
0.15	18.796666666666667	Constant
0.3	0.0	Constant
0.13684210526315796	0.5936842105263157	Constant
0.09	-0.376	Constant
0.13999999999999999	-0.752	Constant
0.11428571428571428	0.5371428571428571	Constant
0.18571428571428572	0.0	Constant
0.09090909090909093	-1.3672727272727272	Constant
0.10000000000000002	-0.752	Constant
0.1285714285714286	-0.5371428571428571	Constant
0.10714285714285718	-1.0742857142857143	Constant
0.15000000000000005	0.7519999999999999	Increases
0.11333333333333337	-1.0026666666666666	Constant
0.09999999999999999	1.0742857142857143	Constant
0.5	0.0	Constant
0.075	-0.94	Constant
0.0	-126.56666666666666	Decreases
0.1222222222222222	-15.455555555555556	Constant
0.1	12.303636363636365	Constant
0.0875	-1.88	Constant
0.19565217391304351	0.32608695652173914	Constant
0.11666666666666665	-0.6266666666666666	Constant
0.18823529411764708	-1.7694117647058822	Constant
0.1	0.0	Constant
0.275	0.0	Constant
0.3	0.0	Constant
0.16	0.0	Constant
0.15	-1.2533333333333332	Constant
0.35	0.0	Constant
0.175	0.94	Constant
0.08571428571428572	12.89	Constant
0.06666666666666667	1.2533333333333332	Constant
0.16666666666666666	0.0	Constant
0.03333333333333333	-40.72666666666667	Constant
0.07	-74.43699999999998	Decreases
0.15000000000000002	3.76	Constant
0.05	62.03	Increases
1.4375000000000002	0.0	Constant
2.6769230769230767	0.0	Constant
0.7122807017543858	58.03877192982459	Increases
1.414814814814815	144.39111111111112	Increases
0.9349999999999999	-4.3235	Constant
1.4461538461538466	-5.4946153846153845	Constant
0.7304347826086957	-0.49043478260869583	Constant
1.1360000000000001	-30.526400000000002	Decreases
0.0	-157.89499999999998	Decreases
0.8548387096774196	-7.884193548387096	Constant
2.25	0.0	Constant
0.26499999999999985	-0.1258333333333333	Constant
0.06874999999999999	-37.358125	Decreases
0.06190476190476192	-4.654285714285713	Constant
0.2285714285714285	-2.5052380952380964	Constant
0.23611111111111105	-2.088055555555557	Increases
0.06666666666666667	-106.51666666666667	Decreases
0.12857142857142856	-0.5371428571428571	Constant
0.17500000000000002	-29.135	Decreases
0.18333333333333332	-22.55666666666667	Constant
0.05	-31.955	Constant
0.17500000000000002	0.0	Constant
0.08571428571428572	-34.90857142857143	Constant
0.16666666666666666	42.60666666666666	Constant
0.08750000000000001	-33.834999999999994	Constant
0.21666666666666667	-22.55666666666667	Constant
0.1	0.0	Constant
0.13333333333333333	-83.96	Decreases
0.1	-94.925	Decreases
0.1	-42.42857142857143	Decreases
0.1	-3.2228571428571433	Decreases
0.05	1.8800000000000026	Decreases
0.1	-60.15	Constant
0.15	-1.88	Constant
0.13333333333333333	21.30333333333333	Constant
0.1	-101.505	Constant
0.18333333333333335	0.0	Constant
0.3	0.0	Constant
0.18333333333333335	-23.183333333333337	Constant
0.7058823529411766	-4.644705882352941	Constant
2.8677419354838714	-219.0187096774194	Decreases
3.3	0.0	Constant
0.776470588235294	-2.4329411764705884	Constant
1.1	6.3168	Constant
2.4250000000000003	0.0	Constant
0.6645161290322581	16.73516129032258	Constant
0.008333333333333333	-68.29416666666665	Decreases
0.3819672131147542	-6.348196721311474	Decreases
2.4879310344827585	-2.8520689655172418	Constant
2.375	0.0	Constant
0.7419354838709679	-0.12193548387096687	Constant
0.5285714285714286	32.22428571428571	Increases
0.3844827586206897	5.443793103448274	Increases
1.5909090909090908	0.0	Constant
0.0	-500.38050000000004	Decreases
0.5266666666666665	0.876666666666667	Increases
1.3692307692307693	0.0	Constant
0.4525	7.0485	Constant
2.6199999999999997	0.0	Constant
1.2357142857142858	0.0	Constant
0.12500000000000003	-5.64	Constant
0.09	-18.047000000000004	Decreases
0.13157894736842107	-20.37894736842105	Decreases
0.0	-130.32666666666668	Decreases
0.03333333333333333	-48.873333333333335	Constant
0.07999999999999999	-45.113	Decreases
0.07931034482758623	-45.112758620689654	Constant
0.03333333333333333	-33.083333333333336	Decreases
0.0125	-45.11250000000001	Decreases
0.02413793103448276	-63.13172413793103	Decreases
0.02413793103448276	-63.13172413793103	Decreases
0.03636363636363637	-111.75545454545454	Decreases
0.11707317073170731	-36.585853658536585	Decreases
0.12999999999999995	-23.245833333333334	Decreases
0.02	-60.902	Decreases
0.0	-60.15	Constant
0.025	-149.435	Decreases
0.011111111111111112	-125.3111111111111	Decreases
0.02857142857142857	-65.16333333333333	Decreases
0.009677419354838712	-108.05225806451615	Decreases
0.055319148936170216	-108.86297872340427	Decreases
0.0	-142.17363636363638	Decreases
0.0	-150.84624999999997	Decreases
0.03928571428571428	-65.11785714285715	Decreases
0.05	-33.835	Constant
0.1	-67.67	Constant
0.0	-200.50333333333333	Decreases
0.049999999999999996	-25.241428571428575	Constant
0.12	-2.256	Decreases
0.075	13.470833333333333	Constant
0.03333333333333333	-81.45333333333333	Decreases
0.02	15.788999999999998	Constant
0.06249999999999999	-27.25625	Constant
0.0	0.0	Increases
0.0	-31.955000000000005	Increases
0.021428571428571432	-83.51214285714285	Decreases
0.05	-37.218	Constant
0.05	-60.15	Constant
0.0	-167.92	Decreases
0.045454545454545456	-35.54363636363637	Constant
0.03333333333333333	-92.73333333333333	Decreases
0.037500000000000006	-94.45375	Decreases
0.0	7.519999999999996	Increases
0.1	0.0	Constant
0.049999999999999996	6.1764285714285725	Constant
0.02666666666666667	-68.67200000000001	Decreases
0.0	-163.53	Decreases
0.04000000000000001	-76.12750000000001	Decreases
0.05	-63.91	Constant
0.20000000000000004	-42.60666666666666	Constant
0.05	0.0	Constant
0.19999999999999998	0.0	Constant
0.25	0.0	Constant
0.13333333333333333	20.05	Constant
0.09	0.0	Constant
0.05	-33.8325	Constant
0.014285714285714287	-45.11285714285715	Decreases
0.03571428571428571	-76.26142857142858	Decreases
0.025	-175.75	Decreases
0.1	33.835	Constant
0.0	-131.58	Decreases
0.18	-26.314	Constant
0.0	-176.6925	Decreases
0.03333333333333333	27.569999999999997	Constant
0.06666666666666667	-46.366666666666674	Decreases
0.0	-133.4575	Decreases
0.04	-102.256	Decreases
0.044736842105263165	-74.59447368421053	Decreases
0.075	-31.015	Decreases
0.12000000000000002	-29.698999999999995	Constant
0.04285714285714286	43.502857142857145	Increases
0.16	-39.85	Constant
0.13333333333333333	-40.1	Constant
0.036	-59.84879999999999	Decreases
0.0	-147.86916666666664	Decreases
0.07142857142857142	-68.74428571428572	Decreases
0.0	-127.06800000000001	Decreases
0.08	-74.436	Decreases
0.10000000000000002	-23.183333333333337	Constant
0.0	-139.09	Decreases
0.02727272727272728	-50.23909090909091	Decreases
0.06666666666666667	82.70666666666666	Increases
0.0	-131.58	Decreases
0.10000000000000002	-76.02222222222223	Decreases
0.3	-53.57	Decreases
0.03333333333333333	-85.21333333333332	Decreases
0.25	-46.99	Increases
0.0	-139.10000000000002	Decreases
0.0	-176.6933333333333	Decreases
0.06086956521739132	-9.153043478260866	Constant
0.10000000000000002	0.0	Constant
0.26666666666666666	-1.2533333333333332	Constant
0.1	0.0	Constant
0.1714285714285715	-0.895238095238095	Decreases
0.2416666666666667	0.6266666666666666	Constant
0.16666666666666666	0.0	Constant
0.18333333333333338	0.0	Constant
0.26666666666666666	0.0	Constant
0.0	-131.58	Decreases
0.08	-54.132000000000005	Decreases
0.12	0.0	Constant
0.3	0.0	Constant
0.15	-32.895	Constant
0.1	-3.76	Decreases
0.06666666666666667	-43.86000000000001	Constant
0.10000000000000002	-42.60666666666666	Constant
0.15000000000000002	-3.76	Constant
0.2	31.955	Constant
0.2333333333333333	0.0	Constant
0.8	0.0	Constant
0.21428571428571427	0.0	Constant
0.25000000000000006	-1.88	Constant
0.1125	0.94	Constant
0.10000000000000002	1.2533333333333332	Constant
0.2	0.0	Constant
0.13333333333333333	0.0	Constant
0.2	0.0	Constant
0.15	0.94	Constant
0.12499999999999999	-15.9775	Constant
0.16111111111111115	-1.4622222222222223	Constant
0.0866666666666667	6.014666666666665	Constant
0.16000000000000003	-1.128	Constant
0.16000000000000006	-1.8799999999999997	Constant
0.05454545454545454	-31.1009090909091	Decreases
0.3	0.0	Constant
0.21428571428571433	-1.0742857142857143	Constant
0.10909090909090909	-1.7090909090909088	Constant
